sn,Country,Total cases,New cases,Total deaths,New deaths,Total recovered,New recovered,Active cases,Serious/Critical
,1,USA,"34,264,727",,"613,494 ",,"28,254,091",,"5,397,142","5,083"
,2,India,"29,183,121","+1,049","359,695 ",,"27,655,493","+10,268","1,167,933","8,944"
,3,Brazil,"17,125,357",,"479,791 ",,"15,596,816",,"1,048,750","8,318"
,4,France,"5,725,492",,"110,202 ",,"5,458,349",,"156,941","2,326"
,5,Turkey,"5,306,690",,"48,428 ",,"5,179,833",,"78,429","1,018"
,6,Russia,"5,156,250",,"124,895 ",,"4,761,899",,"269,456","2,300"
,7,UK,"4,535,754",,"127,860 ",,"4,281,627",,"126,267",154
,8,Italy,"4,237,790",,"126,767 ",,"3,936,088",,"174,935",661
,9,Argentina,"4,038,528",,"83,272 ",,"3,608,895",,"346,361","7,769"
,10,Germany,"3,715,870",,"90,187 ",,"3,563,800","+6,200","61,883","1,796"
